season,round,race_name,driver,team,grid_position,finish_position,points,status,laps,avg_finish_last5,weighted_finish_form,finish_std_last5,is_dnf,dnf_rate_last5,position_gain,avg_position_gain,team_avg_points_last3,teammate_delta,driver_vs_field,circuit_avg_finish,circuit_avg_gain,driver_points_before_race,team_points_before_race,driver_rank_before_race,prev_team,team_changed
2022,1,Bahrain Grand Prix,HUL,Aston Martin,17.0,17.0,0.0,Finished,57.0,13.269953051643194,11.458074934189096,4.0,0,0.2,0.0,-0.2,4.666666666666667,0.0,0.7499999999999997,10.385620915032678,-0.5261437908496732,72.0,319.0,10.0,,1
2022,2,Saudi Arabian Grand Prix,HUL,Aston Martin,17.0,12.0,0.0,Finished,50.0,17.0,17.0,4.0,0,0.0,5.0,0.0,4.666666666666667,2.5,6.449999999999999,10.303921568627452,-0.5686274509803922,0.0,319.0,11.0,Aston Martin,0
2023,1,Bahrain Grand Prix,HUL,Haas F1 Team,10.0,15.0,0.0,Lapped,56.0,14.5,14.0,3.5355339059327378,0,0.0,-5.0,2.5,0.3333333333333333,1.0,3.4499999999999993,17.0,0.0,0.0,40.0,18.0,Aston Martin,1
2023,2,Saudi Arabian Grand Prix,HUL,Haas F1 Team,10.0,12.0,0.0,Finished,50.0,14.666666666666666,14.473684210526313,2.5166114784235836,0,0.0,-2.0,0.0,0.0,1.0,3.6999999999999993,12.0,5.0,0.0,40.0,18.0,Haas F1 Team,0
2023,3,Australian Grand Prix,HUL,Haas F1 Team,10.0,7.0,6.0,Finished,58.0,14.0,13.446153846153845,2.449489742783178,0,0.0,3.0,-0.5,0.0,1.0,3.1124999999999994,9.91156462585034,-0.5748299319727891,0.0,40.0,18.0,Haas F1 Team,0
2023,4,Azerbaijan Grand Prix,HUL,Haas F1 Team,20.0,17.0,0.0,Lapped,50.0,12.6,10.971563981042653,3.7815340802378072,0,0.0,3.0,0.2,2.0,-0.2,1.7299999999999993,10.183333333333332,-0.64,6.0,46.0,16.0,Haas F1 Team,0
2023,5,Miami Grand Prix,HUL,Haas F1 Team,12.0,15.0,0.0,Finished,57.0,12.6,13.174436090225566,3.7815340802378072,0,0.0,-3.0,0.8,2.0,-0.3,1.7099999999999995,10.036666666666667,-0.5800000000000001,6.0,46.0,16.0,Haas F1 Team,0
2023,6,Monaco Grand Prix,HUL,Haas F1 Team,18.0,17.0,0.0,Lapped,76.0,13.2,13.820786789703742,3.8987177379235853,0,0.0,1.0,-0.8,2.0,0.3,2.5199999999999996,9.936666666666667,-0.2833333333333333,6.0,46.0,16.0,Haas F1 Team,0
2023,7,Spanish Grand Prix,HUL,Haas F1 Team,7.0,15.0,0.0,Lapped,65.0,13.6,14.923552735923872,4.219004621945797,0,0.0,-8.0,0.4,0.0,-0.1,2.9699999999999998,10.006802721088436,-0.3537414965986395,6.0,46.0,16.0,Haas F1 Team,0
2023,8,Canadian Grand Prix,HUL,Haas F1 Team,5.0,15.0,0.0,Lapped,69.0,14.2,14.94971571644672,4.147288270665544,0,0.0,-10.0,-0.8,0.0,-0.6,3.6,9.88,-0.10999999999999999,6.0,46.0,16.0,Haas F1 Team,0
2023,9,Austrian Grand Prix,HUL,Haas F1 Team,8.0,21.0,0.0,Retired,12.0,15.8,14.966772942697114,1.0954451150103306,1,0.0,-13.0,-3.4,0.0,0.2,5.2299999999999995,10.166666666666668,-1.2233333333333334,6.0,46.0,17.0,Haas F1 Team,0
2023,10,British Grand Prix,HUL,Haas F1 Team,11.0,13.0,0.0,Finished,52.0,16.6,17.00137065317335,2.6076809620810586,0,0.2,-2.0,-6.6,0.0,0.1,6.049999999999999,10.88,-1.646666666666667,6.0,46.0,17.0,Haas F1 Team,0
